Count_Cytoplasm,FileName_Cell,FileName_Green,FileName_Nuclei,FileName_Red,Group_Index,Group_Number,ImageNumber,Math_CellConfluency,Mean_Cytoplasm_Math_RedGreenRatio,Median_Cytoplasm_Math_RedGreenRatio,Metadata_ExperimentName,Metadata_Well,StDev_Cytoplasm_Math_RedGreenRatio
2022,,,,,270,1,270,0.734432936,1.065108259,1.106290243,,L06,0.739631118
2256,,,,,271,1,271,0.761360645,1.010747934,0.976071342,,L07,0.766824543
2226,,,,,272,1,272,0.789484978,1.020378242,1.008549229,,L08,0.742846966
2401,,,,,273,1,273,0.831200838,1.069892809,1.081641431,,L09,0.797978517
2167,,,,,274,1,274,0.74178195,0.96727473,0.903731132,,L10,0.747895753
2347,,,,,275,1,275,0.823741198,0.926729661,0.79161801,,L11,0.710800129
2483,,,,,276,1,276,0.830687761,0.927086779,0.80504189,,L12,0.734226681
2206,,,,,277,1,277,0.750978708,0.861612276,0.716721075,,L13,0.690139201
2249,,,,,278,1,278,0.779059649,0.850837063,0.676888117,,L14,0.696393873
2324,,,,,279,1,279,0.813177824,0.899231502,0.742755233,,L15,0.715789733
2205,,,,,280,1,280,0.794147015,0.88102413,0.762063101,,L16,0.688845542
2191,,,,,281,1,281,0.736519098,0.748859666,0.57187348,,L17,0.645060113
2265,,,,,282,1,282,0.79300046,0.828352977,0.686912381,,L18,0.673883237
2424,,,,,283,1,283,0.829943895,0.820613174,0.606390159,,L19,0.704382084
2466,,,,,284,1,284,0.788620234,0.850706768,0.717435082,,L20,0.696973408
2374,,,,,285,1,285,0.787197828,0.820133872,0.681452627,,L21,0.673907047
2538,,,,,286,1,286,0.798159599,0.888116442,0.759304525,,L22,0.732882185
2135,,,,,287,1,287,0.738979816,0.798630707,0.655710145,,L23,0.647835141
2342,,,,,288,1,288,0.785944223,0.697423994,0.562688454,,L24,0.561614646
1884,,,,,289,1,289,0.675035238,1.191536621,1.30210625,,M01,0.800408389
2036,,,,,290,1,290,0.683125734,1.043528067,0.996273688,,M02,0.801613082
2000,,,,,291,1,291,0.722450495,1.068589798,1.120124576,,M03,0.754671243
2336,,,,,292,1,292,0.793074369,1.07752987,1.07918862,,M04,0.799667277
2410,,,,,293,1,293,0.848797321,1.052736853,1.103275345,,M05,0.753560744
2293,,,,,294,1,294,0.80672884,0.911710797,0.833162168,,M06,0.709905066
2318,,,,,295,1,295,0.802822828,0.976450338,0.928291894,,M07,0.73684326
2071,,,,,296,1,296,0.749847174,0.97984694,0.925461701,,M08,0.733494324
2169,,,,,297,1,297,0.705829382,0.902415501,0.775679148,,M09,0.70332617
2436,,,,,298,1,298,0.819990635,0.850404564,0.671039787,,M10,0.706879049
2213,,,,,299,1,299,0.811159134,0.875986422,0.740694208,,M11,0.693006414
2435,,,,,300,1,300,0.819598913,0.814884462,0.689189593,,M12,0.653441219
2226,,,,,301,1,301,0.735626936,0.839211203,0.655332149,,M13,0.703847023
2388,,,,,302,1,302,0.811896324,0.879081753,0.768871267,,M14,0.703666268
2331,,,,,303,1,303,0.815758228,0.886751927,0.798090786,,M15,0.694256467
2185,,,,,304,1,304,0.776809931,0.831756713,0.688633315,,M16,0.685566584
2244,,,,,305,1,305,0.777736664,0.897570422,0.765818427,,M17,0.707523946
2243,,,,,306,1,306,0.771126032,0.76875445,0.56603275,,M18,0.664804589
2293,,,,,307,1,307,0.814983368,0.78285325,0.572752277,,M19,0.669792363
2335,,,,,308,1,308,0.814833641,0.939564308,0.876653362,,M20,0.712900495
2229,,,,,309,1,309,0.750573874,0.819615752,0.662769655,,M21,0.687726906
2227,,,,,310,1,310,0.742674828,0.759878441,0.592411329,,M22,0.62953324
2288,,,,,311,1,311,0.775936127,0.795455569,0.641815687,,M23,0.658673756
2505,,,,,312,1,312,0.812796593,0.732501393,0.576951057,,M24,0.616897672
1121,,,,,313,1,313,0.367553234,0.047465122,0.042458543,,N01,0.022390533
957,,,,,314,1,314,0.322961807,0.044649149,0.042066484,,N02,0.014551778
2279,,,,,315,1,315,0.812495232,0.06130277,0.049053233,,N03,0.029199764
2338,,,,,316,1,316,0.801173687,0.062118721,0.048090756,,N04,0.031428018
2402,,,,,317,1,317,0.881609917,0.31736242,0.152138024,,N05,0.316694319
2245,,,,,318,1,318,0.826851368,0.299459761,0.138510955,,N06,0.318996461
2450,,,,,319,1,319,0.850506783,0.67858942,0.464718552,,N07,0.599286635
2377,,,,,320,1,320,0.841145992,0.610350365,0.407327337,,N08,0.555343513
2199,,,,,321,1,321,0.812836409,0.978587606,0.986899117,,N09,0.712935099
